Deven Marrero,0.424016613,0.225630936,0.048051257,0.35503692,0.404527394,0.349497358,1.060437543,0.718151449,8,0,5.868835377
Chris Taylor,0.367351464,0.154802172,0.107816387,0.340219873,0.21265384,0.371739037,0.86149772,0.50344274,1,21,10.24950525
Corey Seager,0.398245791,0.150770292,0.10451754,0.358075814,0.261990069,0.395422741,0.925384418,0.573040697,2,7,9.952121391
Justin Turner,0.410418788,0.051024971,0.126081331,0.363867693,0.1133067,0.471039447,0.918923404,0.484265104,3,5,8.984218031
Cody Bellinger,0.443241528,0.215407177,0.087383777,0.319397274,0.486369427,0.369280079,1.015825557,0.745160376,4,12,9.180844404
Logan Forsythe,0.264339129,0.149140097,0.14027869,0.246211924,0.042767653,0.322735484,0.616878289,0.249474913,5,7,5.266684549
Joc Pederson,0.409539647,0.141023365,0.094801158,0.30612903,0.327231663,0.392407862,0.942135277,0.603081846,6,0,6.856780843
Yasmani Grandal,0.37143116,0.194699391,0.049589635,0.352995497,0.29378086,0.327992055,0.89237108,0.586694122,7,0,5.6350057
Yasiel Puig,0.395080455,0.105015716,0.101725272,0.279400137,0.286233416,0.377952559,0.929604369,0.58968947,8,0,5.039439118
Tim Anderson,0.209631629,0.417021535,0.011985745,0.339557721,0.065635118,0.216542691,0.479574317,0.275780171,1,11,7.885384043
Melky Cabrera,0.244376816,0.249497338,0.027035267,0.240020305,0.15560121,0.221966401,0.650711204,0.375012787,2,0,7.756100012
Jose Abreu,0.334474468,0.303727746,0.041893932,0.36840706,0.191431788,0.320344464,1.313337384,0.514405315,3,0,9.797516592
Avisail Garcia,0.308872712,0.357628109,0.013087541,0.463616215,0.126214478,0.305535339,1.075689998,0.458394836,4,8,8.142117637
Matt Davidson,0.259841312,0.45226717,0.04016068,0.295128896,0.210556226,0.225082741,0.75626211,0.426114294,5,3,6.052661035
Tyler Saladino,0.220528973,0.305079265,0.069710983,0.251212179,0.066384146,0.255322887,0.466160652,0.226984163,6,3,3.76524794
Yolmer Sanchez,0.189017809,0.321150876,0.051810199,0.222133374,0.089827191,0.197477283,0.403957435,0.241326957,7,6,2.585062955
Kevan Smith,0.147162958,0.221956447,0,0.170669132,0.07540738,0.138803612,0.289647705,0.209012016,8,0,0.960721445
Brett Gardner,0.406596427,0.137645782,0.099476262,0.347523288,0.254202777,0.405961571,0.93251145,0.575978545,1,12,10.7890167
